Destination,State,Terrain,Remoteness_1to5,Area_Risk_Level,Num_People,Time_of_Visit,Mode_of_Travel,Age,Gender,Purpose,Inside_Restricted_Zone,Weather,Connectivity,Distance_to_Safe_Zone_km,Distance_to_High_Risk_Zone_km,Risk_Score,Safety_Score
Kamakhya Temple,Assam,Temple,1,Low,2,Day,Trekking,18-25,Male,Pilgrimage,0,Rain,Good,2,0.65,0.334,Medium
Gangtok,Sikkim,City,1,Low,1,Night,Bike,36-45,Male,Trekking,0,Clear,Good,2.16,0.6,0.823,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Day,Cab,46+,Female,Sightseeing,1,Clear,Poor,11.48,0.73,0.905,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,5,Night,Bus,26-35,Male,Night Stay,0,Clear,Poor,11.09,0.94,0.886,Extreme
Imphal,Manipur,City,1,Low,4,Day,Bus,46+,Female,Sightseeing,0,Fog,Good,1.85,2.61,0.193,Low
Manas National Park,Assam,Wildlife,4,High,4,Day,Cab,46+,Male,Sightseeing,0,Clear,Poor,5.22,0.98,0.661,High
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Cab,18-25,Male,Night Stay,0,Clear,Good,1.99,0.61,0.373,Medium
Tripura Sundari Temple,Tripura,Temple,1,Low,3,Day,Cab,46+,Female,Trekking,0,Clear,Good,0.79,2.78,0.229,Low
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Cab,26-35,Female,Pilgrimage,1,Fog,Poor,5.06,0.43,0.906,Extreme
Nathula Pass,Sikkim,High Pass,5,High,4,Night,Bus,46+,Male,Night Stay,0,Clear,Poor,9.79,0.56,0.949,Extreme
Kohima,Nagaland,City,1,Low,4,Day,Bus,26-35,Male,Trekking,0,Clear,Good,0.84,1.33,0.152,Low
Manas National Park,Assam,Wildlife,4,High,2,Day,Cab,18-25,Male,Pilgrimage,0,Clear,Poor,11.51,1.19,0.741,High
Shillong,Meghalaya,Hill City,2,Low,4,Day,Cab,46+,Female,Trekking,0,Rain,Good,2.04,1.89,0.302,Medium
Kohima,Nagaland,City,1,Low,3,Night,Bus,26-35,Male,Night Stay,0,Fog,Good,1.28,1.52,0.455,Medium
Imphal,Manipur,City,1,Low,2,Night,Trekking,18-25,Female,Sightseeing,0,Clear,Good,1.41,2,0.475,Medium
Gangtok,Sikkim,City,1,Low,5,Night,Bus,46+,Male,Night Stay,0,Rain,Good,1.82,2.36,0.427,Medium
Darjeeling,West Bengal,Hill Town,2,Low,5,Night,Bus,18-25,Female,Night Stay,0,Clear,Good,2.62,2.01,0.382,Medium
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Cab,26-35,Male,Sightseeing,1,Clear,Poor,6.41,1.26,0.879,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Night,Cab,46+,Male,Pilgrimage,0,Clear,Moderate,3.41,0.6,0.571,High
Nathula Pass,Sikkim,High Pass,5,High,5,Night,Bus,46+,Male,Night Stay,0,Clear,Poor,7.86,1.26,0.915,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Night,Bus,46+,Male,Sightseeing,0,Clear,Poor,6.32,0.49,0.86,Extreme
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Cab,46+,Female,Trekking,0,Clear,Poor,6.57,1.24,0.709,High
Gangtok,Sikkim,City,1,Low,5,Night,Cab,46+,Female,Night Stay,0,Clear,Good,2.48,2.22,0.386,Medium
Kohima,Nagaland,City,1,Low,4,Day,Cab,46+,Male,Sightseeing,0,Clear,Good,0.91,2.26,0.144,Low
Nathula Pass,Sikkim,High Pass,5,High,4,Night,Bus,36-45,Male,Night Stay,0,Rain,Poor,9.33,1.41,1,Extreme
Darjeeling,West Bengal,Hill Town,2,Low,4,Night,Cab,36-45,Female,Trekking,0,Clear,Good,1.32,2.27,0.43,Medium
Kamakhya Temple,Assam,Temple,1,Low,2,Day,Trekking,18-25,Male,Trekking,0,Clear,Good,2.15,2.16,0.315,Medium
Shillong,Meghalaya,Hill City,2,Low,5,Day,Cab,36-45,Male,Pilgrimage,0,Clear,Good,1.82,2.79,0.16,Low
Kamakhya Temple,Assam,Temple,1,Low,4,Night,Bus,36-45,Male,Pilgrimage,0,Rain,Good,1.81,0.71,0.402,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Cab,36-45,Female,Sightseeing,0,Fog,Good,2.59,0.7,0.203,Low
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Bus,18-25,Male,Sightseeing,1,Clear,Poor,11.03,1.39,0.868,Extreme
Imphal,Manipur,City,1,Low,5,Day,Cab,18-25,Female,Sightseeing,0,Clear,Good,2.17,0.99,0.102,Low
Kamakhya Temple,Assam,Temple,1,Low,1,Night,Bike,18-25,Male,Sightseeing,0,Clear,Good,2.96,1.27,0.77,Extreme
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,26-35,Female,Sightseeing,0,Clear,Good,0.75,1.76,0.093,Low
Manas National Park,Assam,Wildlife,4,High,5,Day,Bus,26-35,Female,Trekking,1,Clear,Poor,9.88,1.2,0.897,Extreme
Aizawl,Mizoram,City,1,Low,3,Day,Bike,26-35,Female,Sightseeing,0,Clear,Good,1.02,1.1,0.274,Medium
Kohima,Nagaland,City,1,Low,4,Night,Bus,36-45,Female,Sightseeing,0,Rain,Good,2.13,2.65,0.407,Medium
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Bus,26-35,Female,Night Stay,1,Clear,Poor,11.7,0.96,0.922,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Night,Bus,46+,Female,Trekking,0,Clear,Poor,10.36,0.63,0.965,Extreme
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Cab,26-35,Male,Pilgrimage,0,Clear,Poor,5.54,1.35,0.689,High
Kohima,Nagaland,City,1,Low,4,Night,Cab,26-35,Female,Night Stay,0,Clear,Good,0.59,2.17,0.38,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,4,Day,Bus,18-25,Female,Trekking,0,Clear,Good,2.68,1.16,0.196,Low
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,26-35,Female,Trekking,1,Rain,Good,1.74,1.15,0.447,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Night,Cab,26-35,Male,Night Stay,0,Rain,Poor,10.28,0.59,0.987,Extreme
Kohima,Nagaland,City,1,Low,2,Day,Cab,46+,Male,Pilgrimage,0,Clear,Good,1.56,1.88,0.161,Low
Kamakhya Temple,Assam,Temple,1,Low,3,Night,Bus,46+,Female,Sightseeing,0,Clear,Good,2.75,1.77,0.36,Medium
Imphal,Manipur,City,1,Low,4,Night,Bus,26-35,Male,Trekking,0,Clear,Good,0.74,2.29,0.382,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,36-45,Male,Pilgrimage,0,Clear,Good,1.16,0.92,0.085,Low
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Bus,26-35,Male,Sightseeing,1,Clear,Moderate,5.03,0.35,0.556,High
Gangtok,Sikkim,City,1,Low,3,Night,Bus,18-25,Male,Trekking,0,Rain,Good,0.69,2.05,0.476,Medium
Shillong,Meghalaya,Hill City,2,Low,1,Day,Bike,26-35,Female,Pilgrimage,0,Fog,Good,1.47,1.14,0.405,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,26-35,Female,Sightseeing,0,Clear,Moderate,2.06,2.11,0.378,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Day,Bus,46+,Male,Sightseeing,0,Clear,Moderate,4.1,0.43,0.347,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Cab,26-35,Female,Pilgrimage,1,Rain,Poor,5.25,0.93,0.915,Extreme
Tripura Sundari Temple,Tripura,Temple,1,Low,3,Night,Cab,26-35,Male,Night Stay,1,Clear,Good,1.66,2.01,0.612,High
Sela Pass,Arunachal Pradesh,High Pass,5,High,1,Day,Bike,26-35,Female,Sightseeing,1,Clear,Poor,10.27,0.15,1,Extreme
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,26-35,Female,Sightseeing,0,Rain,Good,0.86,0.8,0.162,Low
Gangtok,Sikkim,City,1,Low,2,Day,Bus,46+,Male,Pilgrimage,0,Clear,Good,1.68,0.52,0.133,Low
Manas National Park,Assam,Wildlife,4,High,3,Night,Bus,26-35,Male,Night Stay,1,Clear,Poor,6.01,1.01,1,Extreme
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Night,Cab,36-45,Male,Trekking,1,Clear,Good,1.18,2.35,0.623,High
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,46+,Male,Trekking,0,Clear,Moderate,2.9,0.5,0.416,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Night,Bus,18-25,Male,Night Stay,0,Clear,Poor,5.78,0.15,0.903,Extreme
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,36-45,Male,Trekking,0,Clear,Good,1.21,2.02,0.153,Low
Sandakphu,West Bengal,Trek Peak,4,High,3,Day,Cab,46+,Female,Trekking,1,Clear,Poor,8.68,0.54,0.959,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Cab,46+,Male,Sightseeing,0,Clear,Poor,5.6,0.52,0.676,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Night,Bus,46+,Male,Trekking,0,Fog,Good,1.59,1.62,0.444,Medium
Kamakhya Temple,Assam,Temple,1,Low,3,Day,Cab,26-35,Female,Night Stay,0,Rain,Good,2.99,1,0.312,Medium
Shillong,Meghalaya,Hill City,2,Low,1,Night,Trekking,18-25,Female,Night Stay,0,Clear,Good,0.55,1.8,0.842,Extreme
Aizawl,Mizoram,City,1,Low,5,Day,Bus,46+,Male,Sightseeing,0,Clear,Good,1.92,0.72,0.093,Low
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Bus,18-25,Male,Pilgrimage,1,Clear,Poor,9.8,0.38,0.876,Extreme
Darjeeling,West Bengal,Hill Town,2,Low,4,Day,Bus,18-25,Female,Sightseeing,0,Rain,Good,2.88,2.86,0.255,Medium
Sandakphu,West Bengal,Trek Peak,4,High,1,Day,Bike,36-45,Female,Trekking,0,Clear,Poor,9.13,0.49,0.908,Extreme
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,26-35,Female,Sightseeing,0,Clear,Good,2.01,2.11,0.104,Low
Shillong,Meghalaya,Hill City,2,Low,3,Day,Cab,36-45,Male,Sightseeing,0,Clear,Good,1.01,2.41,0.206,Low
Darjeeling,West Bengal,Hill Town,2,Low,3,Night,Trekking,36-45,Female,Night Stay,0,Clear,Good,1.58,0.87,0.529,High
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,36-45,Male,Trekking,0,Clear,Good,2.8,2.13,0.199,Low
Nathula Pass,Sikkim,High Pass,5,High,2,Day,Trekking,18-25,Male,Pilgrimage,1,Clear,Poor,6.83,0.55,1,Extreme
Imphal,Manipur,City,1,Low,3,Night,Trekking,26-35,Female,Night Stay,0,Clear,Good,0.54,1.24,0.499,Medium
Shillong,Meghalaya,Hill City,2,Low,5,Night,Cab,36-45,Male,Sightseeing,0,Clear,Good,2.94,1.36,0.365,Medium
Aizawl,Mizoram,City,1,Low,4,Day,Bus,18-25,Male,Sightseeing,0,Clear,Good,0.56,0.71,0.111,Low
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Bus,18-25,Male,Sightseeing,0,Fog,Good,0.82,2.34,0.195,Low
Imphal,Manipur,City,1,Low,5,Day,Bus,18-25,Male,Sightseeing,0,Rain,Good,1.74,1.57,0.173,Low
Gangtok,Sikkim,City,1,Low,5,Day,Bus,36-45,Female,Sightseeing,0,Rain,Good,1.6,2.97,0.19,Low
Kaziranga National Park,Assam,Wildlife,4,High,3,Night,Trekking,18-25,Male,Night Stay,0,Clear,Poor,11.88,1.45,1,Extreme
Gangtok,Sikkim,City,1,Low,2,Night,Bus,26-35,Female,Pilgrimage,0,Clear,Good,1.29,0.75,0.357,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Day,Cab,46+,Female,Sightseeing,0,Clear,Moderate,3.4,1.81,0.381,Medium
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,36-45,Male,Pilgrimage,0,Clear,Good,2.61,2.48,0.147,Low
Majuli Island,Assam,Island,3,Medium,4,Day,Cab,26-35,Male,Trekking,1,Clear,Moderate,4.04,1.35,0.636,High
Shillong,Meghalaya,Hill City,2,Low,5,Night,Bus,26-35,Male,Night Stay,0,Clear,Good,1.55,2.35,0.377,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Bus,26-35,Male,Night Stay,0,Clear,Good,1.39,1.39,0.338,Medium
Aizawl,Mizoram,City,1,Low,5,Day,Cab,36-45,Female,Sightseeing,0,Clear,Good,0.99,1.88,0.122,Low
Kaziranga National Park,Assam,Wildlife,4,High,3,Night,Bus,46+,Male,Night Stay,0,Rain,Poor,11.05,1.23,1,Extreme
Gangtok,Sikkim,City,1,Low,4,Night,Bus,46+,Male,Pilgrimage,0,Clear,Good,2.54,2.98,0.329,Medium
Imphal,Manipur,City,1,Low,2,Night,Bus,36-45,Male,Night Stay,0,Clear,Good,0.8,1.5,0.409,Medium
Tripura Sundari Temple,Tripura,Temple,1,Low,2,Day,Trekking,18-25,Male,Pilgrimage,0,Clear,Good,0.63,0.65,0.28,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,2,Day,Cab,18-25,Female,Sightseeing,1,Rain,Good,1.24,2.84,0.484,Medium
Sandakphu,West Bengal,Trek Peak,4,High,1,Day,Cab,18-25,Female,Pilgrimage,0,Fog,Poor,11.19,0.32,0.823,Extreme
Manas National Park,Assam,Wildlife,4,High,5,Night,Cab,36-45,Male,Night Stay,1,Clear,Poor,7.55,0.11,1,Extreme
Darjeeling,West Bengal,Hill Town,2,Low,4,Night,Bus,36-45,Male,Night Stay,0,Rain,Good,1.9,2.19,0.492,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Bus,46+,Male,Pilgrimage,1,Clear,Poor,7.91,0.7,0.837,Extreme
Sandakphu,West Bengal,Trek Peak,4,High,5,Night,Bus,26-35,Male,Trekking,0,Clear,Poor,6.76,0.79,0.87,Extreme
Kohima,Nagaland,City,1,Low,5,Day,Bus,26-35,Male,Pilgrimage,0,Clear,Good,0.96,1.22,0.106,Low
Imphal,Manipur,City,1,Low,1,Day,Bike,36-45,Female,Sightseeing,0,Rain,Good,2.5,0.84,0.419,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,18-25,Female,Sightseeing,0,Clear,Moderate,3.41,1.25,0.368,Medium
Aizawl,Mizoram,City,1,Low,4,Day,Bus,46+,Female,Sightseeing,0,Rain,Good,2.79,1.41,0.223,Low
Shillong,Meghalaya,Hill City,2,Low,5,Day,Cab,18-25,Female,Sightseeing,0,Fog,Good,1.47,0.51,0.191,Low
Imphal,Manipur,City,1,Low,3,Day,Trekking,18-25,Female,Trekking,0,Clear,Good,1.85,1.06,0.322,Medium
Nathula Pass,Sikkim,High Pass,5,High,1,Night,Bike,18-25,Male,Sightseeing,0,Clear,Poor,10.67,1.24,1,Extreme
Shillong,Meghalaya,Hill City,2,Low,4,Day,Cab,18-25,Female,Sightseeing,0,Clear,Good,2.97,2.25,0.199,Low
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Day,Bus,36-45,Male,Night Stay,0,Clear,Poor,11.16,0.49,0.741,High
Shillong,Meghalaya,Hill City,2,Low,3,Day,Cab,46+,Female,Sightseeing,0,Clear,Good,2.79,0.78,0.185,Low
Darjeeling,West Bengal,Hill Town,2,Low,2,Day,Bus,46+,Female,Sightseeing,0,Clear,Good,0.75,1.41,0.192,Low
Manas National Park,Assam,Wildlife,4,High,5,Day,Bus,46+,Male,Trekking,1,Clear,Poor,10.31,1.28,0.896,Extreme
Darjeeling,West Bengal,Hill Town,2,Low,4,Day,Bus,46+,Male,Sightseeing,0,Clear,Good,2.57,1.66,0.172,Low
Sandakphu,West Bengal,Trek Peak,4,High,3,Day,Trekking,26-35,Female,Sightseeing,0,Rain,Poor,8.71,1.19,0.887,Extreme
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,36-45,Female,Pilgrimage,0,Clear,Moderate,3.04,1.93,0.351,Medium
Shillong,Meghalaya,Hill City,2,Low,5,Night,Bus,46+,Male,Night Stay,0,Clear,Good,1.61,2.73,0.381,Medium
Majuli Island,Assam,Island,3,Medium,5,Night,Bus,26-35,Female,Trekking,0,Clear,Moderate,2.55,1.59,0.6,High
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Cab,18-25,Female,Sightseeing,0,Clear,Poor,9.14,0.43,0.653,High
Imphal,Manipur,City,1,Low,4,Day,Bus,26-35,Female,Sightseeing,0,Clear,Good,2.43,1.69,0.139,Low
Kohima,Nagaland,City,1,Low,5,Night,Cab,46+,Female,Night Stay,0,Clear,Good,1.53,0.64,0.368,Medium
Darjeeling,West Bengal,Hill Town,2,Low,3,Night,Cab,46+,Female,Night Stay,0,Clear,Good,0.57,2.58,0.445,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,46+,Male,Pilgrimage,0,Clear,Moderate,4.82,0.6,0.369,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Cab,18-25,Female,Night Stay,0,Rain,Good,0.77,0.91,0.429,Medium
Imphal,Manipur,City,1,Low,5,Night,Bus,18-25,Female,Night Stay,1,Clear,Good,0.94,0.76,0.545,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Cab,26-35,Male,Sightseeing,0,Fog,Good,2.49,0.53,0.223,Low
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Bus,46+,Female,Pilgrimage,0,Rain,Moderate,3.8,2.23,0.458,Medium
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,46+,Male,Pilgrimage,1,Clear,Moderate,2.13,1.54,0.543,High
Darjeeling,West Bengal,Hill Town,2,Low,4,Night,Bus,26-35,Female,Night Stay,0,Clear,Good,0.9,1.2,0.416,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Bus,26-35,Male,Pilgrimage,0,Fog,Poor,9.31,0.96,0.699,High
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Night,Bus,26-35,Male,Pilgrimage,0,Clear,Poor,5.61,1.35,0.857,Extreme
Imphal,Manipur,City,1,Low,2,Day,Trekking,18-25,Female,Pilgrimage,0,Clear,Good,2.11,2.56,0.273,Medium
Nathula Pass,Sikkim,High Pass,5,High,3,Day,Trekking,36-45,Male,Pilgrimage,1,Clear,Poor,10.06,0.81,1,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,5,Night,Bus,46+,Female,Night Stay,1,Clear,Poor,5.07,1.1,1,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Night,Cab,18-25,Male,Trekking,0,Clear,Moderate,5.53,0.75,0.616,High
Manas National Park,Assam,Wildlife,4,High,4,Day,Bus,26-35,Male,Trekking,1,Clear,Poor,6.17,0.6,0.909,Extreme
Kohima,Nagaland,City,1,Low,5,Day,Cab,36-45,Male,Sightseeing,0,Clear,Good,2.49,2.21,0.149,Low
Nathula Pass,Sikkim,High Pass,5,High,3,Day,Bus,26-35,Male,Trekking,1,Clear,Poor,6.14,0.7,0.959,Extreme
Imphal,Manipur,City,1,Low,5,Night,Cab,26-35,Male,Trekking,0,Rain,Good,2.7,0.64,0.46,Medium
Aizawl,Mizoram,City,1,Low,2,Day,Bike,36-45,Male,Sightseeing,0,Clear,Good,0.69,1.65,0.261,Medium
Majuli Island,Assam,Island,3,Medium,5,Night,Cab,18-25,Female,Trekking,0,Fog,Moderate,5.61,0.99,0.672,High
Shillong,Meghalaya,Hill City,2,Low,2,Day,Bike,26-35,Female,Pilgrimage,0,Clear,Good,2.31,0.82,0.318,Medium
Sandakphu,West Bengal,Trek Peak,4,High,3,Day,Bus,36-45,Male,Pilgrimage,0,Clear,Poor,11.23,0.7,0.714,High
Kaziranga National Park,Assam,Wildlife,4,High,3,Day,Cab,18-25,Male,Night Stay,1,Clear,Poor,5.74,0.6,0.938,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,3,Night,Cab,36-45,Male,Night Stay,0,Rain,Poor,5.74,0.43,1,Extreme
Darjeeling,West Bengal,Hill Town,2,Low,3,Day,Cab,46+,Female,Trekking,0,Fog,Good,1.13,0.83,0.304,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Cab,36-45,Female,Sightseeing,1,Clear,Poor,8.8,0.79,0.897,Extreme
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Night,Bus,26-35,Male,Trekking,0,Clear,Good,2.68,2.86,0.401,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Bus,46+,Female,Sightseeing,0,Rain,Poor,10.15,0.84,0.761,Extreme
Kohima,Nagaland,City,1,Low,4,Day,Cab,46+,Female,Trekking,0,Rain,Good,1.71,2.15,0.275,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,36-45,Female,Sightseeing,0,Clear,Good,2.67,0.52,0.116,Low
Aizawl,Mizoram,City,1,Low,3,Day,Trekking,26-35,Female,Pilgrimage,0,Fog,Good,2.12,0.73,0.34,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Day,Bus,36-45,Male,Night Stay,1,Clear,Poor,9.92,0.68,0.954,Extreme
Manas National Park,Assam,Wildlife,4,High,1,Night,Cab,26-35,Female,Pilgrimage,0,Clear,Poor,5.37,0.91,1,Extreme
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Bus,36-45,Male,Sightseeing,0,Rain,Poor,9.02,0.44,0.721,High
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,26-35,Male,Night Stay,0,Clear,Moderate,5.41,1.8,0.416,Medium
Shillong,Meghalaya,Hill City,2,Low,3,Day,Cab,46+,Female,Sightseeing,0,Clear,Good,1.54,2.6,0.211,Low
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,46+,Female,Trekking,1,Clear,Good,1.31,1.66,0.38,Medium
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Cab,46+,Male,Trekking,0,Fog,Good,1.53,0.53,0.258,Medium
Nathula Pass,Sikkim,High Pass,5,High,2,Night,Cab,18-25,Female,Night Stay,1,Fog,Poor,11.3,0.5,1,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Day,Bus,46+,Female,Pilgrimage,0,Clear,Moderate,2.13,2.17,0.362,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Night,Bus,26-35,Male,Night Stay,0,Clear,Poor,5.7,0.87,0.891,Extreme
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Bus,26-35,Male,Night Stay,0,Clear,Poor,8.12,0.47,0.696,High
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Night,Bus,26-35,Female,Night Stay,0,Rain,Moderate,4.29,1.23,0.684,High
Imphal,Manipur,City,1,Low,4,Night,Bus,36-45,Female,Trekking,0,Clear,Good,1.2,1.67,0.37,Medium
Gangtok,Sikkim,City,1,Low,5,Day,Cab,18-25,Male,Sightseeing,0,Clear,Good,1.28,2.35,0.114,Low
Gangtok,Sikkim,City,1,Low,5,Day,Cab,26-35,Female,Sightseeing,0,Clear,Good,0.69,2.18,0.125,Low
Tripura Sundari Temple,Tripura,Temple,1,Low,4,Night,Bus,18-25,Female,Trekking,0,Clear,Good,1.64,1.49,0.375,Medium
Darjeeling,West Bengal,Hill Town,2,Low,5,Night,Bus,36-45,Female,Night Stay,0,Fog,Good,2.39,1.51,0.463,Medium
Majuli Island,Assam,Island,3,Medium,4,Day,Cab,36-45,Female,Sightseeing,0,Clear,Moderate,5.75,0.54,0.402,Medium
Kamakhya Temple,Assam,Temple,1,Low,1,Night,Cab,18-25,Female,Night Stay,0,Clear,Good,0.55,2.94,0.742,High
Tripura Sundari Temple,Tripura,Temple,1,Low,3,Day,Bus,18-25,Female,Sightseeing,0,Clear,Good,1.77,1.03,0.155,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Night,Bus,18-25,Female,Pilgrimage,0,Clear,Good,0.96,0.96,0.339,Medium
Gangtok,Sikkim,City,1,Low,4,Day,Bus,18-25,Male,Pilgrimage,0,Rain,Good,1.32,1.99,0.202,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,46+,Male,Night Stay,0,Fog,Good,2.62,2.39,0.238,Low
Kohima,Nagaland,City,1,Low,4,Day,Bus,36-45,Male,Night Stay,0,Clear,Good,1.16,2.64,0.19,Low
Majuli Island,Assam,Island,3,Medium,4,Day,Cab,46+,Female,Sightseeing,0,Fog,Moderate,3.61,0.57,0.451,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Cab,46+,Male,Trekking,0,Clear,Poor,8.97,0.85,0.698,High
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,46+,Female,Trekking,0,Rain,Good,2.81,1.83,0.265,Medium
Gangtok,Sikkim,City,1,Low,3,Night,Bus,26-35,Female,Night Stay,0,Fog,Good,0.72,2.43,0.46,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Night,Bus,18-25,Female,Night Stay,1,Clear,Poor,7.66,0.35,1,Extreme
Darjeeling,West Bengal,Hill Town,2,Low,3,Night,Bus,26-35,Male,Night Stay,0,Clear,Good,1.18,1.9,0.446,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Day,Bus,18-25,Male,Sightseeing,0,Clear,Poor,11.49,0.64,0.709,High
Sela Pass,Arunachal Pradesh,High Pass,5,High,2,Day,Bus,18-25,Female,Sightseeing,0,Fog,Poor,11.45,1.02,0.804,Extreme
Majuli Island,Assam,Island,3,Medium,5,Night,Bus,36-45,Male,Trekking,1,Clear,Moderate,4.4,0.56,0.779,Extreme
Manas National Park,Assam,Wildlife,4,High,4,Night,Cab,26-35,Male,Sightseeing,1,Clear,Poor,6.12,0.31,1,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,36-45,Female,Night Stay,0,Fog,Moderate,4.07,1.72,0.506,High
Cherrapunji,Meghalaya,Plateau,3,Medium,2,Day,Cab,46+,Female,Sightseeing,0,Rain,Moderate,2.45,1.58,0.512,High
Cherrapunji,Meghalaya,Plateau,3,Medium,2,Day,Cab,46+,Female,Pilgrimage,0,Clear,Moderate,2.96,0.48,0.42,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Night,Bus,46+,Male,Night Stay,0,Clear,Moderate,4.6,1.68,0.661,High
Sandakphu,West Bengal,Trek Peak,4,High,1,Day,Cab,18-25,Male,Trekking,0,Rain,Poor,6,0.33,0.862,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Bus,18-25,Male,Trekking,0,Rain,Poor,8.99,0.67,0.8,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,2,Day,Cab,46+,Female,Sightseeing,1,Clear,Poor,10.91,1.35,0.952,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Cab,46+,Female,Sightseeing,0,Clear,Poor,6.95,0.12,0.672,High
Gangtok,Sikkim,City,1,Low,5,Night,Cab,26-35,Male,Night Stay,0,Clear,Good,1.42,2.85,0.372,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,1,Day,Trekking,26-35,Male,Pilgrimage,0,Clear,Good,2.93,1.52,0.345,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Night,Bus,46+,Male,Trekking,0,Clear,Poor,6.29,1.45,0.901,Extreme
